"work_id","work_title","work_alttitle","work_opus","work_identifier","work_mvtitle","work_mvnumber","work_yearbegun","work_yearcompleted","work_yearpublished","work_yearpremiered","work_relatedto","work_measures","work_genre","work_form","work_note","work_wiki","work_imslp","work_viaf","comp_id","era_id"
13,"Symphony No. 4 in D minor","Symfonie č. 4 d moll","Op. 13","B. 41","II. Andante sostenuto e molto cantabile","2","1874","1874","1912","1874","","","Orchestral","","Revised in 1887-1888","https://en.wikipedia.org/wiki/Symphony_No._4_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.4,_Op.13_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293002202","177","10"
14,"Symphony No. 4 in D minor","Symfonie č. 4 d moll","Op. 13","B. 41","III Scherzo. Allegro feroce — trio","3","1874","1874","1912","1874","","","Orchestral","","Revised in 1887-1888","https://en.wikipedia.org/wiki/Symphony_No._4_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.4,_Op.13_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293002202","177","10"
15,"Symphony No. 4 in D minor","Symfonie č. 4 d moll","Op. 13","B. 41","IV. Allegro con brio","4","1874","1874","1912","1874","","","Orchestral","","Revised in 1887-1888","https://en.wikipedia.org/wiki/Symphony_No._4_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.4,_Op.13_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293002202","177","10"
16,"Symphony No. 5 in F major","Symfonie č. 5 F dur","Op. 76","B. 54","I. Allegro ma non troppo","1","1875","1875","1888","1879","","","Orchestral","","Formerly Op. 24. Revised in 1887","https://en.wikipedia.org/wiki/Symphony_No._5_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.5,_Op.76_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293445014","177","10"
17,"Symphony No. 5 in F major","Symfonie č. 5 F dur","Op. 76","B. 54","II. Andante con moto","2","1875","1875","1888","1879","","","Orchestral","","Formerly Op. 24. Revised in 1888","https://en.wikipedia.org/wiki/Symphony_No._5_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.5,_Op.76_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293445014","177","10"
18,"Symphony No. 5 in F major","Symfonie č. 5 F dur","Op. 76","B. 54","III. Scherzo. Allegro scherzando","3","1875","1875","1888","1879","","","Orchestral","","Formerly Op. 24. Revised in 1889","https://en.wikipedia.org/wiki/Symphony_No._5_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.5,_Op.76_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293445014","177","10"
19,"Symphony No. 5 in F major","Symfonie č. 5 F dur","Op. 76","B. 54","IV. Finale. Allegro molto","4","1875","1875","1888","1879","","","Orchestral","","Formerly Op. 24. Revised in 1890","https://en.wikipedia.org/wiki/Symphony_No._5_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.5,_Op.76_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","293445014","177","10"
20,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","1. Furiant","1","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
21,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","2. Dumka
","2","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
22,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","3. Sousedská","3","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
23,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","4. Sousedská","4","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
24,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","5. Skocná","5","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
25,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","6. Polka","6","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
26,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","7. Skocná","7","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
27,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 78","8. Furiant","8","1878","1878","1878","1893","44","","Piano","","8 pieces; orchestrated in 1878, B. 83; no. 2 arranged for violin and piano in 1891, B. 170; nos. 3 and 8 arranged for cello and piano in 1891, B. 172","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
28,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","1. Furiant","1","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
29,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","2. Dumka
","2","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
30,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","3. Sousedská","3","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
31,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","4. Sousedská","4","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
32,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","5. Skocná","5","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
33,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","6. Polka","6","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
34,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","7. Skocná","7","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
35,"Slavonic Dances, Series I","Slovanské tance 1. řada","Op. 46","B. 83","8. Furiant","8","1878","1878","1878","1878","20","","Orchestral","","orchestration of B. 78","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.46_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
36,"Symphony No. 6 in D major","Symfonie č. 6 D dur","Op. 60","B. 112","I. Allegro non tanto","1","1880","1880","1882","1881","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._6_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.6,_Op.60_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","294081904","177","10"
37,"Symphony No. 6 in D major","Symfonie č. 6 D dur","Op. 60","B. 112","II. Adagio","2","1880","1880","1882","1881","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._6_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.6,_Op.60_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","294081904","177","10"
38,"Symphony No. 6 in D major","Symfonie č. 6 D dur","Op. 60","B. 112","III. Scherzo (Furiant). Presto","3","1880","1880","1882","1881","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._6_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.6,_Op.60_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","294081904","177","10"
39,"Symphony No. 6 in D major","Symfonie č. 6 D dur","Op. 60","B. 112","IV. Finale. Allegro con spirito","4","1880","1880","1882","1881","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._6_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.6,_Op.60_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","294081904","177","10"
40,"Symphony No. 7 in D minor","Symfonie č. 7 d moll","Op. 70","B. 141","I. Allegro maestoso","1","1884","1885","1885","1885","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._7_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.7,_Op.70_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
41,"Symphony No. 7 in D minor","Symfonie č. 7 d moll","Op. 70","B. 141","II. Poco adagio","2","1884","1885","1885","1885","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._7_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.7,_Op.70_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
42,"Symphony No. 7 in D minor","Symfonie č. 7 d moll","Op. 70","B. 141","III. Scherzo. Vivace","3","1884","1885","1885","1885","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._7_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.7,_Op.70_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
43,"Symphony No. 7 in D minor","Symfonie č. 7 d moll","Op. 70","B. 141","IV. Finale. Allegro","4","1884","1885","1885","1885","","","Orchestral","","","https://en.wikipedia.org/wiki/Symphony_No._7_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.7,_Op.70_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","","177","10"
44,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","1. (9.) Odzemek","1","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
45,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","2. (10.) Dumka","2","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
46,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","3. (11.) Skocná","3","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
47,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","4. (12.) Dumka","4","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
48,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","5. (13.) Spacírka","5","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
49,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","6. (14.) Polonaise","6","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
50,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","7. (15.) Kolo","7","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
51,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 145","8. (16.) Sousedská","8","1886","1886","1886","1886","20","","Piano","","8 pieces; orchestrated in 1887, B. 147","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
52,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","1. (9.) Odzemek","1","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
53,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","2. (10.) Dumka","2","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
54,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","3. (11.) Skocná","3","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
55,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","4. (12.) Dumka","4","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
56,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","5. (13.) Spacírka","5","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
57,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","6. (14.) Polonaise","6","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
58,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","7. (15.) Kolo","7","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
59,"Slavonic Dances, Series II","Slovanské tance 2. řada","Op. 72","B. 147","8. (16.) Sousedská","8","1886","1887","1887","1887","44","","Orchestral","","orchestration of B. 145","https://en.wikipedia.org/wiki/Slavonic_Dances","https://imslp.org/wiki/Slavonic_Dances%2C_Op.72_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)","","177","10"
60,"Symphony No. 8 in G major","Symfonie č. 8 G dur","Op. 88","B. 163","I. Allegro con brio","1","1889","1889","1892","1890","","","Orchestral","","Dedicated to Franz Joseph I, Emperor of Austria","https://en.wikipedia.org/wiki/Symphony_No._8_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.8,_Op.88_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","181445103","177","10"
61,"Symphony No. 8 in G major","Symfonie č. 8 G dur","Op. 88","B. 163","II. Adagio","2","1889","1889","1892","1890","","","Orchestral","","Dedicated to Franz Joseph I, Emperor of Austria","https://en.wikipedia.org/wiki/Symphony_No._8_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.8,_Op.88_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","181445103","177","10"
62,"Symphony No. 8 in G major","Symfonie č. 8 G dur","Op. 88","B. 163","III. Allegretto grazioso — molto vivace","3","1889","1889","1892","1890","","","Orchestral","","Dedicated to Franz Joseph I, Emperor of Austria","https://en.wikipedia.org/wiki/Symphony_No._8_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.8,_Op.88_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","181445103","177","10"
63,"Symphony No. 8 in G major","Symfonie č. 8 G dur","Op. 88","B. 163","IV. Allegro ma non troppo","4","1889","1889","1892","1890","","","Orchestral","","Dedicated to Franz Joseph I, Emperor of Austria","https://en.wikipedia.org/wiki/Symphony_No._8_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.8,_Op.88_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","181445103","177","10"
64,"Symphony No. 9 in E minor ""From the New World""","Symfonie č. 9 e moll „Z nového světa“","Op. 95","B. 178","I. Adagio — Allegro molto","1","1893","1893","1894","1893","","452","Orchestral","","Also arranged for piano 4 hands (B. 521)","https://en.wikipedia.org/wiki/Symphony_No._9_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.9,_Op.95_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","184260139","177","10"
65,"Symphony No. 9 in E minor ""From the New World""","Symfonie č. 9 e moll „Z nového světa“","Op. 95","B. 178","II. Largo","2","1893","1893","1894","1893","","127","Orchestral","","Also arranged for piano 4 hands (B. 521)","https://en.wikipedia.org/wiki/Symphony_No._9_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.9,_Op.95_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","184260139","177","10"
66,"Symphony No. 9 in E minor ""From the New World""","Symfonie č. 9 e moll „Z nového světa“","Op. 95","B. 178","III. Molto vivace","3","1893","1893","1894","1893","","300","Orchestral","","Also arranged for piano 4 hands (B. 521)","https://en.wikipedia.org/wiki/Symphony_No._9_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.9,_Op.95_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","184260139","177","10"
67,"Symphony No. 9 in E minor ""From the New World""","Symfonie č. 9 e moll „Z nového světa“","Op. 95","B. 178","IV. Allegro con fuoco","4","1893","1893","1894","1893","","348","Orchestral","","Also arranged for piano 4 hands (B. 521)","https://en.wikipedia.org/wiki/Symphony_No._9_(Dvo%C5%99%C3%A1k)","https://imslp.org/wiki/Symphony_No.9,_Op.95_(Dvo%C5%99%C3%A1k,_Anton%C3%ADn)","184260139","177","10"
68,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 1 in G minor. Allegro molto","1","1858","1868","1869","1874","","","Piano","","Part of Book 1","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
69,"Hungarian Dances","Ungarische Tänze","WoO 1","","No. 2 in D minor. Allegro non assai – Vivace","2","1858","1868","1869","1874","","","Piano","","Part of Book 1","https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms)","https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","175067739","170","10"
