name,birth_year,death_year,nationality
Norbert Burgmüller,1810,1836,German
Robert Schumann,1810,1856,German
Ludwig Schuncke,1810,1834,German
Ferdinand David,1810,1873,German
Vinzenz Lachner,1811,1893,German
Franz Liszt,1811,1886,Hungarian
Ferdinand Hiller,1811,1885,German
Wilhelm Taubert,1811,1891,German
Ambroise Thomas,1811,1896,French
Spyridon Xyndas,1812,1896,Greek
Sigismond Thalberg,1812,1871,Austrian
Louis-Antoine Jullien,1812,1860,French
Emilie Mayer,1812,1883,German
Friedrich von Flotow,1812,1883,German
Alexandre Dubuque,1812,1898,Russian-French
Johann Rufinatscha,1812,1893,Austrian
Alexander Dargomyzhsky,1813,1869,Russian
Semen Hulak-Artemovsky,1813,1873,Ukrainian
George Alexander Macfarren,1813,1887,English
Stephen Heller,1813,1888,Hungarian
Richard Wagner,1813,1883,German
Ernst Haberbier,1813,1869,German
Giuseppe Verdi,1813,1901,Italian
Charles-Valentin Alkan,1813,1888,French
Andonios Liveralis,1814,1842,Greek
Giuseppe Lillo,1814,1863,Italian
Adolf von Henselt,1814,1889,German
Josephine Lang,1815,1880,German
Ferdinand Praeger,1815,1891,German
Robert Volkmann,1815,1883,German
Józef Władysław Krogulski,1815,1842,Polish
William Sterndale Bennett,1816,1875,English
Charles Dancla,1817,1907,French
Émile Prudent,1817,1863,French
Károly Thern,1817,1886,Hungarian
Niels Gade,1817,1890,Danish
Henry Litolff,1818,1891,British
Charles Gounod,1818,1893,French
Antonio Bazzini,1818,1897,Italian
Alexander Dreyschock,1818,1869,Czech
Jacques Offenbach,1819,1880,French
Franz von Suppé,1819,1895,Austrian
Stanisław Moniuszko,1819,1872,Polish
Clara Schumann,1819,1896,German
Vatroslav Lisinski,1819,1854,Croatian
Henri Vieuxtemps,1820,1881,Belgian
Giovanni Bottesini,1821,1889,Italian
Josip Runjanin,1821,1878,Croatian
Emilie Hammarskjöld,1821,1854,Swedish
Joachim Raff,1822,1882,Swiss-born German
César Franck,1822,1890,Belgian-born French
Luigi Arditi,1822,1903,Italian
Édouard Lalo,1823,1892,French
Theodor Kirchner,1823,1903,German
Kurmangazy Sagyrbaev,1823,1896,Kazakhstani
Anton Bruckner,1824,1896,Austrian
Bedřich Smetana,1824,1884,Czech
Carl Reinecke,1824,1910,German
Jean-Baptiste Arban,1825,1889,French
Johann Strauss II,1825,1899,Austrian
Richard Hol,1825,1904,Dutch
Stephen Foster,1826,1864,American
Ivar Hallström,1826,1901,Swedish
Ludwig Minkus,1826,1917,Austrian
"Prince Gustaf, Duke of Uppland",1827,1852,Swedish
Josef Strauss,1827,1870,Austrian
Adolphe Blanc,1828,1885,French
Adrien Barthe,1828,1898,French
Eduard Rohde,1828,1883,German
Johann Dubez,1828,1891,Austrian
Jacques Blumenthal,1829,1908,German
Patrick Gilmore,1829,1892,Irish-born American
Louis Moreau Gottschalk,1829,1869,American
Anton Rubinstein,1829,1894,Russian
Karl Goldmark,1830,1915,Hungarian
Hans von Bülow,1830,1894,German
Theodor Leschetizky,1830,1915,Polish
Ivan Larionov,1830,1889,Russian
Kornelije Stanković,1831,1865,Serbian
Jan Gerard Palm,1831,1906,Curaçaoan
Hiromori Hayashi,1831,1896,Japanese
Joseph Joachim,1831,1907,Hungarian
Eduardo Mezzacapo,1832,1898,Italian
August Söderman,1832,1876,Swedish
Ivan Zajc,1832,1914,Croatian
Francis Edward Bache,1833,1858,English
Alexander Borodin,1833,1887,Russian
Johannes Brahms,1833,1897,German
Amilcare Ponchielli,1834,1886,Italian
Tekla Bądarzewska-Baranowska,1834,1861,Polish
Julius Reubke,1834,1858,German
Peter Benoit,1834,1901,Flemish
Giuseppe Branzoli,1835,1909,Italian
Felix Draeseke,1835,1913,German
Camille Saint-Saëns,1835,1921,French
Henryk Wieniawski,1835,1880,Polish
Eduard Strauss,1835,1916,Austrian
César Cui,1835,1918,Russian
Davorin Jenko,1835,1914,Slovenian-born Serbian
Friedrich Baumfelder,1836,1916,German
Léo Delibes,1836,1891,French
Antônio Carlos Gomes,1836,1896,Brazilian
Bertha Tammelin,1836,1915,Swedish
Julius Weissenborn,1837,1888,German
Tigran Chukhajian,1837,1898,Turkish-Armenian
Émile Waldteufel,1837,1915,French
Mily Balakirev,1837,1910,Russian
Georges Bizet,1838,1875,French
Max Bruch,1838,1920,German
Modest Mussorgsky,1839,1881,Russian
John Knowles Paine,1839,1906,American
Josef Rheinberger,1839,1901,German
Eduard Nápravník,1839,1916,Czech
Pyotr Ilyich Tchaikovsky,1840,1893,Russian
John Stainer,1840,1901,English
Louis-Albert Bourgault-Ducoudray,1840,1910,French
Johan Svendsen,1840,1911,Norwegian
Louis Brassin,1840,1884,Belgian
Emmanuel Chabrier,1841,1894,French
Felip Pedrell,1841,1922,Spanish
Giovanni Sgambati,1841,1914,Italian
Antonín Dvořák,1841,1904,Czech
Giuseppe Silvestri,1841,1921,Italian
Arrigo Boito,1842,1918,Italian
Mykola Lysenko,1842,1912,Ukrainian
Johann Nepomuk Fuchs,1842,1899,Austrian
Jules Massenet,1842,1912,French
Arthur Sullivan,1842,1900,English
Calixa Lavallée,1842,1891,Canadian
Émile Bernard,1843,1902,French
Edvard Grieg,1843,1907,Norwegian
David Popper,1843,1913,Czech
Paul Taffanel,1844,1908,French
Nikolai Rimsky-Korsakov,1844,1908,Russian
Pietro Armanini,1844,1895,Italian
Pablo de Sarasate,1844,1908,Spanish
Charles-Marie Widor,1844,1937,French
Friedrich Nietzsche,1844,1900,German
Ion Ivanovici,1845,1902,Romanian
Gabriel Fauré,1845,1924,French
Oscar Hammerstein I,1846,1919,German-born American
Ignaz Brüll,1846,1907,Austrian
Luigi Denza,1846,1922,Italian
Ferdinando de Cristofaro,1846,1890,Italian
Zygmunt Noskowski,1846,1909,Polish
Robert Fuchs,1847,1927,Austrian
Chiquinha Gonzaga,1847,1935,Brazilian
Augusta Holmès,1847,1903,French
Philipp Scharwenka,1847,1917,German-Polish
Henri Duparc,1848,1933,French
Hubert Parry,1848,1918,English
Benjamin Godard,1849,1895,French
Ernesto Köhler,1849,1907,Italian
C. A. Bracco,1850,1903,Italian
Zdeněk Fibich,1850,1900,Czech
Xaver Scharwenka,1850,1924,German-Polish
Alexandre Luigini,1850,1906,French
Max Josef Beer,1851,1908,Austrian
Josif Marinković,1851,1931,Serbian
Vincent d'Indy,1851,1931,French
Francisco Tárrega,1852,1909,Spanish
Hans Huber,1852,1921,Swiss
Charles Villiers Stanford,1852,1924,Irish
Ciprian Porumbescu,1853,1883,Romanian
Teresa Carreño,1853,1917,Venezuelan
Engelbert Humperdinck,1854,1921,German
Leoš Janáček,1854,1928,Czech
Alfredo Catalani,1854,1893,Italian
Moritz Moszkowski,1854,1925,German
John Philip Sousa,1854,1932,American
Bernard Zweers,1854,1924,Dutch
George Whitefield Chadwick,1854,1931,American
Ernest Chausson,1855,1899,French
Jean Pietrapertosa,1855,1940,Italian-French
Julius Röntgen,1855,1932,German-Dutch
Anatoly Lyadov,1855,1914,Russian
Arnold Mendelssohn,1855,1933,German
Stevan Mokranjac,1856,1914,Serbian
Giuseppe Martucci,1856,1909,Italian
Sergei Taneyev,1856,1915,Russian
Christian Sinding,1856,1941,Norwegian
Edward Elgar,1857,1934,English
Cécile Chaminade,1857,1944,French
Ruggero Leoncavallo,1857,1919,Italian
Edwin Eugene Bagley,1857,1922,American
Giacomo Puccini,1858,1924,Italian
Jenő Hubay,1858,1937,Hungarian
Eugène Ysaÿe,1858,1931,Belgian
Carlo Curti,1859,1926,Italian
Mikhail Ippolitov-Ivanov,1859,1935,Russian
Victor Herbert,1859,1924,Irish-born American
Sergei Lyapunov,1859,1924,Russian
Per Lasson,1859,1883,Norwegian
Isaac Albéniz,1860,1909,Spanish
Valborg Aulin,1860,1928,Swedish
Gustave Charpentier,1860,1956,French
Gustav Mahler,1860,1911,Austrian
Edward MacDowell,1860,1908,American
Hugo Wolf,1860,1903,Austrian
Ignacy Jan Paderewski,1860,1941,Polish
Anton Arensky,1861,1906,Russian
Spyridon Samaras,1861,1917,Greek
Wilhelm Berger,1861,1911,German
Georgy Catoire,1861,1926,Russian
Václav Suk,1861,1933,Czech-born Russian
Euphemia Allen,1861,1948,British
Claude Debussy,1862,1918,French
Frederick Delius,1862,1934,English
Edward German,1862,1936,English
Alberto Williams,1862,1952,Argentine
Emil von Sauer,1862,1942,German
Pietro Mascagni,1863,1945,Italian
Horatio Parker,1863,1919,American
Gabriel Pierné,1863,1937,French
Ricardo Castro,1864,1907,Mexican
Alberto Nepomuceno,1864,1920,Brazilian
Clarence L. Partee,1864,1915,American
Guy Ropartz,1864,1955,French
Richard Strauss,1864,1949,German
Paul Dukas,1865,1935,French
Eduardo di Capua,1865,1917,Italian
Herbert J. Ellis,1865,1903,English
Paul Gilson,1865,1942,Belgian
Alexander Glazunov,1865,1936,Russian
Albéric Magnard,1865,1914,French
Carl Nielsen,1865,1931,Danish
Jean Sibelius,1865,1957,Finnish
Vasily Kalinnikov,1866,1901,Russian
Tor Aulin,1866,1914,Swedish
Ferruccio Busoni,1866,1924,Italian
Francesco Cilea,1866,1950,Italian
Vladimir Rebikov,1866,1920,Russian
Erik Satie,1866,1925,French
Johann Strauss III,1866,1939,Austrian
Learmont Drysdale,1866,1909,Scottish
Samuel Maykapar,1867,1938,Russian
Amy Beach,1867,1944,American
Umberto Giordano,1867,1948,Italian
Enrique Granados,1867,1916,Spanish
Wilhelm Peterson-Berger,1867,1942,Swedish
Charles Koechlin,1867,1950,French
Scott Joplin,1868,1917,American
Granville Bantock,1868,1946,British
Hermann Bischoff,1868,1936,German
Hamish MacCunn,1868,1916,Scottish
Vittorio Monti,1868,1922,Italian
José Vianna da Motta,1868,1948,Portuguese
Juventino Rosas,1868,1894,Mexican
Jan Brandts Buys,1868,1933,Dutch-Austrian
Tokichi Setoguchi,1868,1941,Japanese
Seth Weeks,1868,1953,American
Siegfried Wagner,1869,1930,German
Demetrios Lialios,1869,1940,Greek
Julius Conus,1869,1942,Russian
Albert Roussel,1869,1937,French
Armas Järnefelt,1869,1958,Finnish
Harry Lawrence Freeman,1869,1954,American
Alfred Hill,1869,1960,Australian-New Zealand
Leopold Godowsky,1870,1938,Polish
Zygmunt Stojowski,1870,1946,Polish
Franz Lehár,1870,1948,Hungarian
Florent Schmitt,1870,1958,French
Luigi von Kunits,1870,1931,Serbian-born Austrian
Guillaume Lekeu,1870,1894,Belgian
Nobu Kōda,1870,1946,Japanese
Alfredo D'Ambrosio,1871,1914,Italian
Giacomo Balla,1871,1958,Italian
Zacharia Paliashvili,1871,1933,Georgian
Henry Kimball Hadley,1871,1937,American
Oreste Ravanello,1871,1938,Italian
Wilhelm Stenhammar,1871,1927,Swedish
Alexander von Zemlinsky,1871,1942,Austrian
Stanislav Binički,1872,1942,Serbian
Hugo Alfvén,1872,1960,Swedish
Julius Fučík,1872,1916,Czech
Rubin Goldmark,1872,1936,American
Alexander Scriabin,1872,1915,Russian
Ralph Vaughan Williams,1872,1958,English
Salvator Léonardi,1872,1938,Italian
William Henry Bell,1873,1946,English
Leo Fall,1873,1925,Austrian
Pascual Marquina Narro,1873,1948,Spanish
Sergei Rachmaninoff,1873,1943,Russian
Max Reger,1873,1916,German
Reynaldo Hahn,1874,1947,Venezuelan
Gustav Holst,1874,1934,English
Charles Ives,1874,1954,American
Arnold Schoenberg,1874,1951,Austrian-American
Josef Suk,1874,1935,Czech
Franz Schmidt,1874,1939,Austrian
Reinhold Glière,1875,1956,Russian
Julián Carrillo,1875,1965,Mexican
Fritz Kreisler,1875,1962,Austrian
Richard Wetz,1875,1935,German
Maurice Ravel,1875,1937,French
Franco Alfano,1875,1954,Italian
Albert Ketèlbey,1875,1959,English
Samuel Coleridge-Taylor,1875,1912,English
Alexander Koshetz,1875,1944,Ukrainian
Mikalojus Konstantinas Čiurlionis,1875,1911,Lithuanian
Henriette Renié,1875,1956,French
Edgar Bara,1876,1962,French
John Alden Carpenter,1876,1951,American
Manuel de Falla,1876,1946,Spanish
Flor Alpaerts,1876,1954,Belgian
Mieczysław Karłowicz,1876,1909,Polish
Filippo Tommaso Marinetti,1876,1944,Italian
Fermo Dante Marchetti,1876,1940,Italian
Ludolf Nielsen,1876,1939,Danish
Carl Ruggles,1876,1971,American
Ermanno Wolf-Ferrari,1876,1948,Italian
Nakao Tozan,1876,1956,Japanese
Petar Krstić,1877,1957,Serbian
Antonio Russolo,1877,1942,Italian
Ernst von Dohnányi,1877,1960,Hungarian
Elisabeth Kuyper,1877,1953,Dutch
Paul Ladmirault,1877,1944,French
Mykola Leontovych,1877,1921,Ukrainian
Sergei Bortkiewicz,1877,1952,Ukrainian
Isidor Bajić,1878,1915,Serbian
Gabriel Dupont,1878,1914,French
Joseph Holbrooke,1878,1958,English
Franz Schreker,1878,1934,Austrian
Teiichi Okano,1878,1941,Japanese
Frank Bridge,1879,1941,English
Viggo Brodersen,1879,1965,Danish
Joseph Canteloube,1879,1957,French
Hamilton Harty,1879,1941,Irish
John Ireland,1879,1962,English
Alma Mahler,1879,1964,Austrian
Otto Olsson,1879,1964,Swedish
Ottorino Respighi,1879,1936,Italian
Rudolf Sieczyński,1879,1952,Austrian
Cyril Scott,1879,1970,English
Rentarō Taki,1879,1903,Japanese
